time,confirmed,cured,dead
"Jan,2020",11791,243,259
"Feb,2020",79824,41625,2870
"Mar,2020",81554,76238,3312
"Apr,2020",82874,77642,4633
"May,2020",83017,78307,4634
"Jun,2020",83534,78479,4634
"Jul,2020",84337,78989,4634
"Aug,2020",85058,80208,4634
"Sep,2020",85414,80594,4634
"Oct,2020",85997,81004,4634
"Nov,2020",86542,81631,4634
"Dec,2020",87071,82067,4634
"Jan,2021",89564,83314,4636
"Feb,2021",89912,85066,4636
"Mar,2021",90217,85394,4636
"Apr,2021",90671,85710,4636
"May,2021",91122,86149,4636
"Jun,2021",91792,86718,4636
"Jul,2021",93005,87347,4636
"Aug,2021",94898,89240,4636
"Sep,2021",96162,90634,4636
"Oct,2021",97243,91738,4636
"Nov,2021",98450,92656,4636